year,mnth,casual,registered,total
2011,1,4.46656976744186,51.0406976744186,55.50726744186046
2011,2,9.617873651771957,64.67334360554699,74.29121725731895
2011,3,17.56986301369863,70.16301369863014,87.73287671232876
2011,4,31.079276773296243,100.86787204450626,131.94714881780249
2011,5,41.733870967741936,140.82123655913978,182.55510752688173
2011,6,42.516666666666666,156.80555555555554,199.3222222222222
2011,7,48.994623655913976,140.9798387096774,189.9744623655914
2011,8,39.45554035567716,147.53625170998632,186.99179206566347
2011,9,37.02231520223152,140.6875871687587,177.70990237099022
2011,10,33.94616419919247,132.28667563930014,166.23283983849262
2011,11,21.688456189151598,120.40751043115438,142.09596662030597
2011,12,11.40080971659919,106.44399460188934,117.84480431848853
2012,1,12.10391363022942,118.45479082321188,130.5587044534413
2012,2,12.602601156069364,136.43930635838151,149.04190751445088
2012,3,42.55450874831763,179.349932705249,221.90444145356662
2012,4,53.559888579387184,189.09192200557104,242.6518105849582
2012,5,59.45564516129032,203.80376344086022,263.25940860215053
2012,6,60.13055555555555,221.57777777777778,281.7083333333333
2012,7,56.05510752688172,217.61021505376345,273.6653225806452
2012,8,58.060483870967744,230.25,288.31048387096774
2012,9,60.80277777777778,242.77083333333334,303.5736111111111
2012,10,48.782485875706215,232.06638418079095,280.84887005649716
2012,11,29.26044568245125,183.36350974930363,212.6239554317549
2012,12,17.850404312668463,148.8787061994609,166.72911051212938
